"SiteID","inclProb","PSU_habitat","habitat","PSU_ID","Shape_Area_m","max_n","n","geometry","lon","lat"
335549,0.97923584,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.745458805097, 49.1290923857476),-120.745458805097,49.1290923857476
339437,0.50921984,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.77611648171, 49.0922648486547),-120.77611648171,49.0922648486547
408125,0.013325312,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.703358619675, 49.1600683017854),-120.703358619675,49.1600683017854
428861,0.287962112,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.677513456481, 49.1459527749246),-120.677513456481,49.1459527749246
501437,0.510620672,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.74706961489, 49.1328496704318),-120.74706961489,49.1328496704318
542909,0.858309632,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.785063020422, 49.1598918933262),-120.785063020422,49.1598918933262
553277,0.423621632,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.645965172426, 49.1337270642629),-120.645965172426,49.1337270642629
708797,0.581706752,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.750443331578, 49.1155794388504),-120.750443331578,49.1155794388504
874685,0.105104384,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.760276235475, 49.1324480968132),-120.760276235475,49.1324480968132
905789,0.903209984,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.702435862104, 49.1618763193142),-120.702435862104,49.1618763193142
906221,0.396329984,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.766875130767, 49.0786628515669),-120.766875130767,49.0786628515669
1040573,0.788194304,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.800288940036, 49.1736380647108),-120.800288940036,49.1736380647108
1050941,0.344290304,"131 - uppermontane","uppermontane",131,22231371.9397855,79,20,c(-120.661924622438, 49.1457970909079),-120.661924622438,49.1457970909079
